Root_Source,File_Name,Extension,File_Path,Size_Bytes,Created_Date,Modified_Date,MD5_Hash
..\..\data\input_samples,1043.50.101 US 9 and 32 Insect.accdb,.accdb,..\..\data\input_samples\1043.50.101 US 9 and 32 Insect.accdb,1433600,2025-01-29 11:23:25,2025-01-29 11:23:25,1d7387a21048a70f1b48b4a4277c8f42
..\..\data\input_samples,1BOW.00.101 Prattsville (10-2014).accdb,.accdb,..\..\data\input_samples\1BOW.00.101 Prattsville (10-2014).accdb,2351104,2025-01-29 11:23:25,2025-01-29 11:23:25,a82a5abfb45d7731e201470f61395682
..\..\data\input_samples,1EST.03 Rotterdam Junction (4-2108).accdb,.accdb,..\..\data\input_samples\1EST.03 Rotterdam Junction (4-2108).accdb,4718592,2025-01-29 11:23:25,2025-01-29 11:23:25,9b8a56b5b975ef5f58a06a2fa00a01ab
..\..\data\input_samples,8561.34.121 Yorktown Heights (01-10).accdb,.accdb,..\..\data\input_samples\8561.34.121 Yorktown Heights (01-10).accdb,1273856,2025-01-29 11:23:25,2025-01-29 11:23:25,838240e5d4b51111462fe7721bd3e529
..\..\data\input_samples,DEC Lake George Park Commission (12-2017).accdb,.accdb,..\..\data\input_samples\DEC Lake George Park Commission (12-2017).accdb,4853760,2025-01-29 11:23:25,2025-01-29 11:23:25,4079e299092056d631b2695f29695312
..\..\data\input_samples,1808.68.101 DEC Camp Ground Restoration (08-11).accdb,.accdb,..\..\data\input_samples\file_search_test_sub\1808.68.101 DEC Camp Ground Restoration (08-11).accdb,1445888,2025-01-29 11:23:25,2025-01-29 11:23:25,b6f565a161a5080986c973930039e50c
..\..\data\input_samples,2801.27.122 - Judd Road Survey (Hobby Site) foxpro.accdb,.accdb,..\..\data\input_samples\file_search_test_sub\2801.27.122 - Judd Road Survey (Hobby Site) foxpro.accdb,1069056,2025-01-29 11:23:25,2025-01-29 11:23:25,fa63f1e6cf5c6c8ee762915034801874
..\..\data\input_samples,2801.27.122 Judd Road Extension Addendum B (05-11).accdb,.accdb,..\..\data\input_samples\file_search_test_sub\2801.27.122 Judd Road Extension Addendum B (05-11).accdb,1294336,2025-01-29 11:23:25,2025-01-29 11:23:25,02d63d519fefc4c265cd46aa2ec728f5
..\..\data\input_samples,3076.21.101 Rt. 5 Elbridge (8-2016).accdb,.accdb,..\..\data\input_samples\file_search_test_sub\3076.21.101 Rt. 5 Elbridge (8-2016).accdb,3387392,2025-01-29 11:23:25,2025-01-29 11:23:25,80ee28aaf77c4c8413d075db6a60465c
..\..\data\input_samples,8393.24.121 NY 376 at Robinson Ln (11-11).accdb,.accdb,..\..\data\input_samples\file_search_test_sub\8393.24.121 NY 376 at Robinson Ln (11-11).accdb,1744896,2025-01-29 11:23:25,2025-01-29 11:23:25,13b29d4999990241f5b64b5f72f6bde8
