db_identifier,file_ext,file_name,file_dir,file_path
9576b7fb92c9566cc172fe543c181526,.accdb,A2009.34A Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34A, NYSM 12165\Phase I","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34A, NYSM 12165\Phase I\A2009.34A Ph I Artifact Database.accdb"
94b07504ac7e0592f72a058da667c785,.accdb,A2009.34A Ph II Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34A, NYSM 12165\Phase II","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34A, NYSM 12165\Phase II\A2009.34A Ph II Artifact Database.accdb"
2bfc4d874b11a56cc0ce54794df4d94c,.accdb,A2009.34AA Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AA, NYSM 12170","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AA, NYSM 12170\A2009.34AA Ph I Artifact Database.accdb"
6c18827c90de3cbad581fff135580a97,.accdb,A2009.34AB Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AB, NYSM 12171","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AB, NYSM 12171\A2009.34AB Ph I Artifact Database.accdb"
5e215a78d4527c858934821ca45d1de7,.accdb,A2009.34AC Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AC, NYSM 12172","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AC, NYSM 12172\A2009.34AC Ph I Artifact Database.accdb"
b7d04ad392047ed75622594e2c407d58,.accdb,A2009.34AD Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AD, NYSM 12173","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AD, NYSM 12173\A2009.34AD Ph I Artifact Database.accdb"
936ee47f0afe45ccea75653affc9f05f,.accdb,A2009.34AE Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AE, NYSM 12175","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AE, NYSM 12175\A2009.34AE Ph I Artifact Database.accdb"
2792b59afb3676e83372a844329adaea,.accdb,A2009.34AF Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AF, NYSM 12176","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AF, NYSM 12176\A2009.34AF Ph I Artifact Database.accdb"
2c3409127f1e4a843ba663d4956ecd4a,.accdb,A2009.34AG Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AG, NYSM 12179","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AG, NYSM 12179\A2009.34AG Ph I Artifact Database.accdb"
6e6ccebce50b08b74b4282586145e8bb,.accdb,A2009.34AH Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AH, NYSM 12182","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AH, NYSM 12182\A2009.34AH Ph I Artifact Database.accdb"
